,entry_window,exit_window,Sharpe,Return
0,10,5,0.09348167042387291,0.0073956510723449664
1,10,7,0.07466794737644743,0.005959168773252976
2,10,9,0.10142305412060064,0.008168202182069484
3,10,11,0.13487972260690093,0.010901480038151279
4,10,13,0.13487972260690093,0.010901480038151279
5,10,15,0.13487972260690093,0.010901480038151279
6,10,17,0.13487972260690093,0.010901480038151279
7,10,19,0.13487972260690093,0.010901480038151279
8,10,21,0.13487972260690093,0.010901480038151279
9,10,23,0.13487972260690093,0.010901480038151279
10,10,25,0.13487972260690093,0.010901480038151279
11,10,27,0.13487972260690093,0.010901480038151279
12,10,29,0.13487972260690093,0.010901480038151279
13,10,31,0.13487972260690093,0.010901480038151279
14,10,33,0.13487972260690093,0.010901480038151279
15,10,35,0.13487972260690093,0.010901480038151279
16,10,37,0.13487972260690093,0.010901480038151279
17,10,39,0.13487972260690093,0.010901480038151279
18,10,41,0.13487972260690093,0.010901480038151279
19,10,43,0.13487972260690093,0.010901480038151279
20,10,45,0.13487972260690093,0.010901480038151279
21,10,47,0.13487972260690093,0.010901480038151279
22,10,49,0.13487972260690093,0.010901480038151279
23,15,5,0.23210390439264467,0.01830923069686441
24,15,7,0.22165948098464586,0.01769154451942412
25,15,9,0.2517720895884747,0.02029388911088925
26,15,11,0.2927222096327206,0.02375787387981121
27,15,13,0.28883102854806997,0.023501551303813262
28,15,15,0.29000516534147536,0.023655822492214762
29,15,17,0.29000516534147536,0.023655822492214762
30,15,19,0.29000516534147536,0.023655822492214762
31,15,21,0.29000516534147536,0.023655822492214762
32,15,23,0.29000516534147536,0.023655822492214762
33,15,25,0.29000516534147536,0.023655822492214762
34,15,27,0.29000516534147536,0.023655822492214762
35,15,29,0.29000516534147536,0.023655822492214762
36,15,31,0.29000516534147536,0.023655822492214762
37,15,33,0.29000516534147536,0.023655822492214762
38,15,35,0.29000516534147536,0.023655822492214762
39,15,37,0.29000516534147536,0.023655822492214762
40,15,39,0.29000516534147536,0.023655822492214762
41,15,41,0.29000516534147536,0.023655822492214762
42,15,43,0.29000516534147536,0.023655822492214762
43,15,45,0.29000516534147536,0.023655822492214762
44,15,47,0.29000516534147536,0.023655822492214762
45,15,49,0.29000516534147536,0.023655822492214762
46,20,5,0.33353093909737636,0.02614393634643264
47,20,7,0.3261246272995219,0.025865183001625436
48,20,9,0.3569781602911787,0.0285806035428946
49,20,11,0.398308279960612,0.03212910579699413
50,20,13,0.3921794999407958,0.03173123335566408
51,20,15,0.39333138118160116,0.03189858528940337
52,20,17,0.3990487342745368,0.0324642476613346
53,20,19,0.40551240556709245,0.033049322330030106
54,20,21,0.40621191427662234,0.03314881730914099
55,20,23,0.40621191427662234,0.03314881730914099
56,20,25,0.40621191427662234,0.03314881730914099
57,20,27,0.40621191427662234,0.03314881730914099
58,20,29,0.40621191427662234,0.03314881730914099
59,20,31,0.40621191427662234,0.03314881730914099
60,20,33,0.40621191427662234,0.03314881730914099
61,20,35,0.40621191427662234,0.03314881730914099
62,20,37,0.40621191427662234,0.03314881730914099
63,20,39,0.40621191427662234,0.03314881730914099
64,20,41,0.40621191427662234,0.03314881730914099
65,20,43,0.40621191427662234,0.03314881730914099
66,20,45,0.40621191427662234,0.03314881730914099
67,20,47,0.40621191427662234,0.03314881730914099
68,20,49,0.40621191427662234,0.03314881730914099
69,25,5,0.4021803626570218,0.03148111715835267
70,25,7,0.3877336565995562,0.03070942922249098
71,25,9,0.41837909625035674,0.033461906169764966
72,25,11,0.4549450000107929,0.036651489340563614
73,25,13,0.4456497097114105,0.03600369990167529
74,25,15,0.44462158246310307,0.036010168946707166
75,25,17,0.4513892358442375,0.036673435904475804
76,25,19,0.46370216462604374,0.037762778562048016
77,25,21,0.47341983921158587,0.038664111464352
78,25,23,0.48844953167443367,0.04000420180353137
79,25,25,0.47716289644409626,0.039158901933216805
80,25,27,0.47716289644409626,0.039158901933216805
81,25,29,0.47716289644409626,0.039158901933216805
82,25,31,0.47716289644409626,0.039158901933216805
