Date,Portfolio
2023-01-03,1.0
2023-01-04,1.0
2023-01-05,1.0
2023-01-06,1.0
2023-01-09,1.0
2023-01-10,1.0
2023-01-11,1.0
2023-01-12,1.0
2023-01-13,1.0
2023-01-17,1.0
2023-01-18,1.0
2023-01-19,1.0
2023-01-20,1.0
2023-01-23,1.0
2023-01-24,1.0
2023-01-25,1.0
2023-01-26,1.0
2023-01-27,1.0
2023-01-30,1.0
2023-01-31,1.0
2023-02-01,1.0
2023-02-02,1.0
2023-02-03,1.0
2023-02-06,1.0
2023-02-07,1.0
2023-02-08,1.0
2023-02-09,1.0
2023-02-10,1.0
2023-02-13,1.0
2023-02-14,1.0
2023-02-15,1.0
2023-02-16,0.9993031953110394
2023-02-17,0.9980326810915612
2023-02-21,0.9946748675882181
2023-02-22,0.9948955225127075
2023-02-23,0.9977762664543609
2023-02-24,0.9995529853654627
2023-02-27,1.000257567306163
2023-02-28,0.9998157428585929
2023-03-01,0.9992968902619157
2023-03-02,0.9988068819510202
2023-03-03,0.998344161559387
2023-03-06,0.9996116859703196
2023-03-07,1.0054100236558254
2023-03-08,1.0072364098170654
2023-03-09,1.0152745240923167
2023-03-10,1.0200174121276866
2023-03-13,1.0365627526189949
2023-03-14,1.029027448556279
2023-03-15,1.0424759124808927
2023-03-16,1.0345139830894963
2023-03-17,1.0484353557836963
2023-03-20,1.03950205686427
2023-03-21,1.0255979389191576
2023-03-22,1.0437886463982495
2023-03-23,1.050837637614283
2023-03-24,1.0473288663750815
2023-03-27,1.039222311165973
2023-03-28,1.0362116089411293
2023-03-29,1.0266293415626466
2023-03-30,1.026986933992038
2023-03-31,1.0207250979749993
2023-04-03,1.0218611575573193
2023-04-04,1.0306585138923485
2023-04-05,1.0320228353353904
2023-04-06,1.0304896899809286
2023-04-10,1.0266673697291238
2023-04-11,1.0221516691463208
2023-04-12,1.0253067531782891
2023-04-13,1.0251574063872009
2023-04-14,1.0257243398737959
2023-04-17,1.0192404090242209
2023-04-18,1.0228776392749763
2023-04-19,1.0239385168377264
2023-04-20,1.0290043306966588
2023-04-21,1.0340761505527738
2023-04-24,1.0342098128221084
2023-04-25,1.04024002345597
2023-04-26,1.042609581384915
2023-04-27,1.0437440757506697
2023-04-28,1.0408535021385823
2023-05-01,1.0436126983828045
2023-05-02,1.055361050667165
2023-05-03,1.065436684361494
2023-05-04,1.0715880226334558
2023-05-05,1.065442582854986
2023-05-08,1.067814087392214
2023-05-09,1.065988837986986
2023-05-10,1.072420529811532
2023-05-11,1.0795927496724866
2023-05-12,1.079242710856752
2023-05-15,1.0733246640515066
2023-05-16,1.0811748707197575
2023-05-17,1.072653802708941
2023-05-18,1.075049546053875
2023-05-19,1.075924873558646
